hotel_name,avg_sentiment,food_score,service_score,staff_score,cleanliness_score,ambiance_score,value_score,room_score,amenities_score,Overall Sentiment,Food Sentiment,Service Sentiment,Staff Sentiment,Cleanliness Sentiment,Ambiance Sentiment,Value Sentiment,Room Sentiment,Amenities Sentiment,Average Sentiment
mandarin oriental (uae),0.36033282760073726,0.5883733333333334,0.6695216049382716,0.755,0.6181166666666666,0.851175,0.90325,0.5781562499999999,0.5284611111111112,good,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,good
marriott (new zealand ),0.260267037858315,0.22184250000000003,0.33155535714285717,0.76495,0.277175,0.4588,-0.014033333333333323,0.22406388888888887,0.35,good,good,good,excellent,good,good,neutral,good,good,good
movenpick (aus),0.31467781385281385,0.3846466666666667,0.44324646464646467,0.8323333333333333,0.5538240740740741,0.34,0.39675,0.5510333333333334,0.3961,good,good,good,excellent,excellent,good,good,excellent,good,good
munich marriott hotel(munich) (germany),0.38422522095959594,0.64802,0.6806944444444444,0.5903799999999999,0.668175,0.836,0.7027749999999999,0.6336233333333333,0.5609000000000001,good,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,good
"oberoi , shimla (india )",0.44243667810947224,0.54291,0.6070645833333334,0.77868,0.5805374999999999,0.6277999999999999,0.42162499999999997,0.56765,0.6936,good,excellent,excellent,excellent,excellent,excellent,good,excellent,excellent,excellent
oberoi delhi  ,0.34762964674214675,0.41174,0.6082020833333334,0.7607333333333334,0.7458,0.6334125,0.177325,0.6114083333333333,0.5680666666666666,good,good,excellent,excellent,excellent,excellent,neutral,excellent,excellent,good
one and only one za’abeel (new zealand),0.2180237124395213,0.02683333333333333,0.4038962962962963,0.4763,0.59485,0.82925,0.9152,0.2698583333333333,0.536575,good,neutral,good,good,excellent,excellent,excellent,good,excellent,neutral
one&only one za’abeel (uae),0.26024471983626396,0.9665,0.44475625,0.7001999999999999,0.77207,0.9109333333333334,0.05903333333333335,0.41346,0.32216666666666666,good,excellent,good,excellent,excellent,excellent,neutral,good,good,good
"palazzo versace,(dubai)",0.4188131791819291,0.6047399999999999,0.659218775510204,0.6351,0.68415,,0.5542,-0.22397500000000004,0.30571000000000004,good,excellent,excellent,excellent,excellent,bad,excellent,bad,good,excellent
park plaza westminster bridge( london) (u.k.),0.22320302960927965,0.37160000000000004,0.25225312499999997,0.6603,0.3569,0.5561499999999999,0.139,0.5939791666666667,,good,good,good,excellent,good,excellent,neutral,excellent,bad,neutral
parmelia hilton (perth)  (australia),0.32411105114427485,0.30928,0.34925439393939395,0.72605,0.33876666666666666,0.7488,0.28595,0.47592083333333335,0.31845,good,good,good,excellent,good,excellent,good,good,good,good
pullman  (uae),0.366905815018315,0.1171888888888889,0.6874033333333334,0.926125,,0.9533,0.4209,0.9743,-0.20889999999999997,good,neutral,excellent,excellent,bad,excellent,good,excellent,bad,good
pullman paris tour eiffel(paris),0.18042611832611832,0.21196666666666666,0.059454761904761906,0.5855166666666666,0.35998,0.18813333333333335,0.019319047619047642,0.239740625,0.0,neutral,good,neutral,excellent,good,neutral,neutral,good,neutral,neutral
radisson blu hotel(edinburgh),0.1758957566738817,0.849575,-0.00856944444444444,0.7228,0.6039,-0.6907,,0.760425,0.5106,neutral,excellent,neutral,excellent,excellent,bad,bad,excellent,excellent,neutral
rochester champs elysees(paris) (france),0.2967171054412103,0.4193,0.5601166666666667,0.6886666666666666,0.683165,,0.5917,0.4337638888888889,0.69555,good,good,excellent,excellent,excellent,bad,excellent,good,excellent,good
rose rayhaan by rotana(dubai) (u.a.e),0.3978915343915344,0.80375,0.658375,0.5439,0.9775,,0.4588,0.63,0.0,good,excellent,excellent,excellent,excellent,bad,good,excellent,neutral,good
rosewood kauri cliffs(new zealand),0.27072247771909347,0.20229333333333335,0.1593322222222222,0.505375,0.23802500000000001,0.8807,0.2619666666666667,0.40819444444444447,0.6124,good,good,neutral,excellent,good,excellent,good,good,excellent,good
shangri la (dubai),0.46507842029002744,0.640652,0.7528214285714286,0.7626,0.7107833333333334,0.7697499999999999,0.31470000000000004,0.7298625,0.4435,good,excellent,excellent,excellent,excellent,excellent,good,excellent,good,excellent
sheraton essen hotel(essen ) (germany),0.1585632908757909,0.50965,0.19917499999999996,0.7970666666666667,0.5748,0.5287,0.5022500000000001,0.6937000000000001,-0.5423,neutral,excellent,neutral,excellent,excellent,excellent,excellent,excellent,bad,neutral
so/ auckland (new zealand),0.490671626984127,0.760225,0.835392857142857,0.865075,0.8992,0.864625,,0.8846399999999999,0.46324000000000004,good,excellent,excellent,excellent,excellent,excellent,bad,excellent,good,excellent
sofitel marseille vieux port (france ),0.3245614189051689,-0.882,0.6007399999999999,0.8884000000000001,0.8431,,0.412175,0.61935,0.45205,good,bad,excellent,excellent,excellent,bad,good,excellent,good,good
sofitel wellington (india),0.4011983074795575,0.5626785714285715,0.50250625,0.733,0.5321,0.6423,0.7940999999999999,0.7635375,0.476475,good,excellent,excellent,excellent,excellent,excellent,excellent,excellent,good,excellent
st regis mumbai (india),0.46000026236389874,0.613375,0.6309966666666667,0.8288500000000001,0.571225,0.765,0.9804,0.793,0.55574375,good,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent
st. regis goa (india),0.28612247762302107,0.4836344444444444,0.36664444444444444,0.8768,0.467375,0.7250866666666668,0.7822333333333332,0.5976338095238095,0.5630533333333333,good,good,good,excellent,good,excellent,excellent,excellent,excellent,good
st.regis (dubai ),0.33010957015259673,0.43487,0.5668106481481482,0.693375,0.83981,0.6309625000000001,0.6227199999999999,0.4436866666666667,0.53748125,good,good,excellent,excellent,excellent,excellent,excellent,good,excellent,good
steigenberger frankfurter hof(frankfurter) (germany),0.2687458549620314,0.269,0.26102,0.6946,0.7116333333333333,0.44530000000000003,0.57625,0.6068875,0.4927,good,good,good,excellent,excellent,good,excellent,excellent,good,good
taj mumbai  (india ),0.3222204951443791,0.3917380952380953,0.5151883597883598,0.7268416666666666,0.6707761904761904,0.6126833333333334,0.6333785714285715,0.5000030303030303,0.5026416666666667,good,good,excellent,excellent,excellent,excellent,excellent,excellent,excellent,good
the bloomsbury hotel(london) ,0.38217232709750565,0.6749833333333334,0.43972625,0.7377111111111111,0.530965625,0.688075,0.724625,0.4071944444444444,0.8885,good,excellent,good,excellent,excellent,excellent,excellent,good,excellent,good
the grace sydney(aus),0.33837014080195893,,0.736,0.7244142857142857,0.4665,0.865,0.8258,0.44886458333333334,0.45901999999999993,good,bad,excellent,excellent,good,excellent,excellent,good,good,good
the hyatt ( dubai ) ,0.3749822585978836,0.5014904761904762,0.628095238095238,0.7648416666666668,0.6639571428571429,,0.6124,0.7741214285714285,0.6960000000000001,good,excellent,excellent,excellent,excellent,bad,excellent,excellent,excellent,good
the imperial (new delhi) (india),0.39883145095645095,0.5221733333333333,0.5212666666666667,0.9334,0.55805,0.5725,0.9349,0.68614,0.2942666666666667,good,excellent,excellent,excellent,excellent,excellent,excellent,excellent,good,good
the lalit (new delhi) ,0.34092306096681096,0.35148,0.45460537037037035,0.85276,0.33374,0.19179999999999997,-0.0772,0.49091250000000003,-0.2263,good,good,good,excellent,good,neutral,neutral,good,bad,good
the leela palace (new delhi) (india),0.43957998737373744,0.69865,0.5162392857142858,,0.59265,,0.61455,0.6028333333333333,0.5859,good,excellent,excellent,bad,excellent,bad,excellent,excellent,excellent,excellent
"the negresco, nice  (france )",0.3401572339036624,0.4122666666666667,0.24427500000000002,0.7286833333333332,0.7553749999999999,0.6999,0.211,0.6327333333333334,0.417675,good,good,good,excellent,excellent,excellent,good,excellent,good,good
the oberoi (mauritius),0.46627926322043967,0.8345625,0.7718,0.9282199999999999,0.8041,0.8672,0.51005,0.9204,0.7451000000000001,good,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent,excellent
the ritz  (pune ),0.37500878048188974,0.7398166666666667,0.5644703703703704,0.6882250000000001,0.19820000000000002,0.7926500000000001,,0.6662777777777777,0.326,good,excellent,excellent,excellent,neutral,excellent,bad,excellent,good,good
the ritz carlton  (mauritius ),0.2704875108687609,0.262125,0.3203722222222222,0.6883166666666667,0.5796875,0.552611111111111,0.47647555555555554,0.4982095238095238,0.3163222222222222,good,good,good,excellent,excellent,excellent,good,good,good,good
the royal horseguards hotel(london) (u.k.),0.41192023809523814,0.6031,0.57082,0.752475,0.6571499999999999,0.743,0.8176,0.566125,,good,excellent,excellent,excellent,excellent,excellent,excellent,excellent,bad,excellent
the rubens at the palace(london) (u.k.),0.32907756019074297,0.5178333333333334,0.2537466666666667,0.47507857142857146,0.6549,0.5777,0.8026,0.7752500000000001,,good,excellent,good,good,excellent,excellent,excellent,excellent,bad,good
the taj ( dubai ) ,0.3253686263426515,0.677713888888889,0.7536866666666666,0.7666333333333334,0.89125,0.5577583333333334,0.4196,0.6780833333333333,0.6075466666666666,good,excellent,excellent,excellent,excellent,excellent,good,excellent,excellent,good
towers rotana(dubai) (u.a.e),0.35491952861952863,0.5927,0.44044285714285714,0.7549,0.57141,,0.7178,0.4610125,0.0,good,excellent,good,excellent,excellent,bad,excellent,good,neutral,good
wharekauhau country estate (new zealand),0.312136413754465,0.22490714285714283,0.5653333333333334,0.38939999999999997,0.41960000000000003,0.37213333333333337,0.7595000000000001,0.55654,0.6839,good,good,excellent,good,good,good,excellent,excellent,excellent,good
