hotel_name
hilton resorts (mauritius)
sofitel marseille vieux port (france )
"atlantis the palm,(dubai) (dubai)"
"burj al arab, dubai (uae)"
hyatt delhi  (india )
st regis mumbai (india)
the oberoi (mauritius)
pullman  (uae)
jumeirah (dubai)
taj mumbai  (india )
rosewood kauri cliffs(new zealand)
wharekauhau country estate (new zealand)
the hyatt ( dubai ) 
jw marriott marquis  (uae )
itc gardenia (banglore) (india)
rose rayhaan by rotana(dubai) (u.a.e)
towers rotana(dubai) (u.a.e)
doubletree by hilton (melbourne) (australia)
hilton sorrento palace(sorrento) (italy)
the leela palace (new delhi) (india)
hotel eiffel seine(paris) (france)
munich marriott hotel(munich) (germany)
le suffren hotel & marina (port louis) (mauritius)
capella sydney (sydney) (australia)
the rubens at the palace(london) (u.k.)
hotel green(california) (u.s.a.)
so/ auckland (new zealand)
jw marriot (mauritius)
"the negresco, nice  (france )"
"hyatt regency, kerala (india)"
st. regis goa (india)
one&only one za’abeel (uae)
jw marriott juhu  (india )
kempinski al othman (uae)
the ritz carlton  (mauritius )
shangri la (dubai)
marriott (new zealand )
st.regis (dubai )
one and only one za’abeel (new zealand)
hilton (dubai )
the bloomsbury hotel(london) 
albergo del senato(rome) 
pullman paris tour eiffel(paris)
ahwahnee hotel(california) 
alaskan hotel and bar(alaskan)
citizenm tower of london hotel(london)
hilton berlin
hôtel de varenne(paris) 
"hyatt regency , amritsar(india)"
eos by skycity( adelaide) 
hyatt (uk)
jw cannes (france )
"oberoi , shimla (india )"
"palazzo versace,(dubai)"
"hyatt creek heights, dubai "
oberoi delhi  
armani hotel (uae)
bulgari (uae)
the taj ( dubai ) 
four seasons  (india )
itc koneur(hyderabad) (india)
the grace sydney(aus)
hotel diocleziano( rome) 
hyatt regency  (australia)
hotel danieli( venice) 
hotel 34b - astotel(paris) (u.s.a.)
hennessy park hotel(ebene) (germany)
emporium hotel south bank(brisbane) 
radisson blu hotel(edinburgh)
carlton hotel(california) 
the lalit (new delhi) 
sofitel wellington (india)
four seasons (mauritius)
"hotel martinez, cannes (france )"
the ritz  (pune )
"crown plaza, kerala (india)"
mandarin oriental (uae)
jw marriott navi mumbai  (india )
movenpick (aus)
conrad pune (india)
hilton  (india)
the royal horseguards hotel(london) (u.k.)
park plaza westminster bridge( london) (u.k.)
iq hotel roma(rome) (italy)
rochester champs elysees(paris) (france)
parmelia hilton (perth)  (australia)
arizona biltmore hotel(arizona) (u.s.a.)
best western queens hotel
sheraton essen hotel(essen ) (germany)
the imperial (new delhi) (india)
como the treasury(perth)  (australia)
steigenberger frankfurter hof(frankfurter) (germany)
