Age,Gender,Batch,CAdept,Hdept,Country1,C1hotel1,C1hotel2,Country2,C2hotel1,C2hotel2,stay,future_career,list1,list2,list3,list4
19.0,Female,2023,Pâtisserie,Sales and Marketing,dubai,The Hyatt ( Dubai ) ,The Taj ( Dubai ) ,-,-,-,No,Executive Chef,The Hyatt ( Dubai )  (dubai),- (-),The Taj ( Dubai )  (dubai),- (-)
23.0,Female,2023,Hot Kitchen,Sales and Marketing,dubai,St Regis Dubai ,Jumeirah plam,mauritius,Hilton,"Four season,  Hyatt",Maybe,Entrpreneur,St Regis Dubai  (dubai),Hilton (mauritius),Jumeirah plam (dubai),"Four season,  Hyatt (mauritius)"
19.0,Male,2023,Hot Kitchen,Food and Beverages,mauritius,Hilton ,Four seasons ,india,Four season ,Hyatt,Maybe,Executive Chef,Hilton  (mauritius),Four season  (india),Four seasons  (mauritius),Hyatt (india)
21.0,Male,2023,Hot Kitchen,Human Resources,uae,JW Marriott MARQUIS ,JW marriott marquis,india,The Oberoi Mumbai ,St Regis Mumbai ,No,Entrpreneur,JW Marriott MARQUIS  (uae),The Oberoi Mumbai  (india),JW marriott marquis (uae),St Regis Mumbai  (india)
18.0,Male,2024,Bakery,Housekeeping,india,Itc gardenia (banglore),ITC koneur(Hyderabad),india,Itc gardenia (banglore),ITC koneur(Hyderabad),Maybe,Executive Chef,Itc gardenia (banglore) (india),Itc gardenia (banglore) (india),ITC koneur(Hyderabad) (india),ITC koneur(Hyderabad) (india)
18.0,Female,2024,Bakery,Housekeeping,uae,Rose Rayhaan by Rotana(Dubai),Towers Rotana(Dubai),uk,The Bloomsbury Hotel(London),The Royal Horseguards Hotel(London),Yes,Executive Chef,Rose Rayhaan by Rotana(Dubai) (uae),The Bloomsbury Hotel(London) (uk),Towers Rotana(Dubai) (uae),The Royal Horseguards Hotel(London) (uk)
18.0,Female,2024,Bakery,Food and Beverages,uae,Towers Rotana(Dubai),Shangri-La Dubai(Dubai),uk,The Royal Horseguards Hotel(London),Park Plaza Westminster Bridge( London),Yes,Executive Chef,Towers Rotana(Dubai) (uae),The Royal Horseguards Hotel(London) (uk),Shangri-La Dubai(Dubai) (uae),Park Plaza Westminster Bridge( London) (uk)
18.0,Male,2024,Service,Food and Beverages,australia,DoubleTree by Hilton (Melbourne),The Grace Sydney(Sydney),italy,Albergo del Senato(Rome),iQ Hotel Roma(Rome),Maybe,General Manager,DoubleTree by Hilton (Melbourne) (australia),Albergo del Senato(Rome) (italy),The Grace Sydney(Sydney) (australia),iQ Hotel Roma(Rome) (italy)
18.0,Male,2024,Bakery,Human Resources,italy,Hilton Sorrento Palace(Sorrento),Hotel Diocleziano( Rome),france,Pullman Paris Tour Eiffel(Paris),Rochester Champs Elysees(Paris),No,Executive Chef,Hilton Sorrento Palace(Sorrento) (italy),Pullman Paris Tour Eiffel(Paris) (france),Hotel Diocleziano( Rome) (italy),Rochester Champs Elysees(Paris) (france)
19.0,Male,2024,Pâtisserie,Housekeeping,india,The Leela Palace (New Delhi),Hyatt Regency (Amritsar),australia,The Melbourne Hotel (Perth),Parmelia Hilton (Perth) ,No,Entrpreneur,The Leela Palace (New Delhi) (india),The Melbourne Hotel (Perth) (australia),Hyatt Regency (Amritsar) (india),Parmelia Hilton (Perth)  (australia)
18.0,Male,2024,Pâtisserie,Sales and Marketing,italy,Hilton Sorrento Palace(Sorrento),Hotel Danieli( Venice),usa,Ahwahnee Hotel(California),Bacon Hotel(Arkansas),Maybe,Entrpreneur,Hilton Sorrento Palace(Sorrento) (italy),Ahwahnee Hotel(California) (usa),Hotel Danieli( Venice) (italy),Bacon Hotel(Arkansas) (usa)
20.0,Male,2024,Service,Sales and Marketing,france,Hotel Eiffel Seine(Paris),Hotel 34B - Astotel(Paris),usa,Alaskan Hotel and Bar(Alaskan),Arizona Biltmore Hotel(Arizona),No,General Manager,Hotel Eiffel Seine(Paris) (france),Alaskan Hotel and Bar(Alaskan) (usa),Hotel 34B - Astotel(Paris) (france),Arizona Biltmore Hotel(Arizona) (usa)
18.0,Male,2024,Bakery,Food and Beverages,germany,Munich Marriott Hotel(Munich),Hilton Berlin(Berlin),uk,citizenM Tower of London hotel(London),Best Western Queens Hotel(Perth),Yes,Executive Chef,Munich Marriott Hotel(Munich) (germany),citizenM Tower of London hotel(London) (uk),Hilton Berlin(Berlin) (germany),Best Western Queens Hotel(Perth) (uk)
18.0,Female,2024,Pâtisserie,Food and Beverages,mauritius,Le Suffren Hotel & Marina (Port Louis),Hennessy Park Hotel(Ebene),germany,Hilton Berlin(Berlin),Sheraton Essen Hotel(Essen ),Maybe,Entrpreneur,Le Suffren Hotel & Marina (Port Louis) (mauritius),Hilton Berlin(Berlin) (germany),Hennessy Park Hotel(Ebene) (mauritius),Sheraton Essen Hotel(Essen ) (germany)
18.0,Female,2024,Hot Kitchen,Food and Beverages,australia,Capella Sydney (Sydney),Emporium Hotel South Bank(Brisbane),france,Hôtel de Varenne(Paris),Rochester Champs Elysees(Paris),Maybe,Entrpreneur,Capella Sydney (Sydney) (australia),Hôtel de Varenne(Paris) (france),Emporium Hotel South Bank(Brisbane) (australia),Rochester Champs Elysees(Paris) (france)
18.0,Female,2024,Hot Kitchen,Sales and Marketing,uk,The Rubens at The Palace(London),Radisson Blu Hotel(Edinburgh),india,Hyatt Regency (Amritsar),The Imperial (New Delhi),Yes,Entrpreneur,The Rubens at The Palace(London) (uk),Hyatt Regency (Amritsar) (india),Radisson Blu Hotel(Edinburgh) (uk),The Imperial (New Delhi) (india)
18.0,Female,2024,Pâtisserie,Housekeeping,usa,Hotel Green(California),Carlton Hotel(California),australia,Eos by SkyCity( Adelaide),COMO The Treasury(Perth) ,Maybe,Entrpreneur,Hotel Green(California) (usa),Eos by SkyCity( Adelaide) (australia),Carlton Hotel(California) (usa),COMO The Treasury(Perth)  (australia)
18.0,Female,2024,Hot Kitchen,Front Office,india,The Leela Palace (New Delhi),The Lalit (New Delhi),germany,Munich Marriott Hotel(Munich),Steigenberger Frankfurter Hof(Frankfurter),Maybe,Entrpreneur,The Leela Palace (New Delhi) (india),Munich Marriott Hotel(Munich) (germany),The Lalit (New Delhi) (india),Steigenberger Frankfurter Hof(Frankfurter) (germany)
19.0,Male,2023,Hot Kitchen,Human Resources,new zealand,SO/ Auckland,Sofitel wellington,india,Leela palace New Delhi,Ritz carlton pune,No,Entrpreneur,SO/ Auckland (new zealand),Leela palace New Delhi (india),Sofitel wellington (new zealand),Ritz carlton pune (india)
