hotel_name,avg_sentiment,positive_reviews,neutral_reviews,negative_reviews,food_score,service_score,staff_score,cleanliness_score,ambiance_score,value_score,room_score,amenities_score
four seasons  (india ),0.3680804179717223,10,0,0,0.4780748051948052,0.520384375,0.64465,0.5001333333333333,0.34,0.6822666666666667,0.5384055555555555,0.25083333333333335
four seasons (mauritius),0.2561118662148279,8,1,1,0.5100916666666667,0.37449642857142856,0.75245,0.505625,0.43375,0.49799999999999994,0.4143547619047619,0.6611472222222222
hennessy park hotel(ebene) (germany),0.43469246031746034,10,0,0,0.7022071428571428,0.4995095238095238,0.7380333333333332,0.4588,0.69727,0.6046666666666667,0.8834,0.21005
hilton  (india),0.44296980095770416,10,0,0,0.5431166666666667,0.6453074074074074,0.5145666666666667,0.6284666666666666,0.6258833333333333,0.6491125,0.7246535714285713,0.6269666666666667
hilton (dubai ),0.3206798004677315,9,1,0,0.50222,0.50557,0.8591,0.871725,0.7476666666666666,0.8087625,0.7563833333333333,0.3154
hilton berlin,0.18738199227524785,6,4,0,0.7807,0.5501208333333333,0.81245,0.6433625000000001,0.188075,0.8230500000000001,0.52101,0.304025
hilton resorts (mauritius),0.31397696170362127,10,0,0,0.37771190476190475,0.43482857142857145,0.8408200000000001,0.55316,0.7882125,0.22486666666666666,0.44315055555555555,0.62656625
hilton sorrento palace(sorrento) (italy),0.27212675565175565,8,1,1,0.31245,0.4346416666666667,0.8439,,0.0,-0.126,0.5062291666666666,0.73635
hotel 34b - astotel(paris) (u.s.a.),0.2725478098290598,6,4,0,0.4588,0.47045,0.8016,0.35275,0.83365,0.8027500000000001,0.4344166666666667,0.0
hotel danieli( venice) ,0.3574944060369707,9,1,0,0.4609,0.6025125,0.77875,0.5702,0.5615666666666667,0.7472666666666666,0.39450416666666666,0.3384
hotel diocleziano( rome) ,0.33898663811678514,10,0,0,0.45335714285714285,0.5751777777777778,0.7138,0.7579625,0.7786,0.4709833333333333,0.6219541666666667,0.448225
hotel eiffel seine(paris) (france),0.3449976137390717,9,1,0,0.86675,0.5111035714285714,0.8488916666666667,0.7992333333333334,0.5034000000000001,0.8316,0.5122625000000001,
hotel green(california) (u.s.a.),0.3866348262168115,9,0,1,0.5928166666666667,0.34649761904761905,0.735725,0.8048500000000001,0.5382,0.5257125,0.644995,0.3851333333333333
"hotel martinez, cannes (france )",0.2732526714753223,7,3,0,0.12247,0.38665714285714287,0.82385,0.6576833333333333,0.4393,0.7482,0.6908305555555555,0.5553
hyatt (uk),0.2716612433862434,8,2,0,0.63775,0.5548599999999999,0.7667666666666667,0.63378,0.7653,0.70615,0.6745749999999999,0.41204
"hyatt creek heights, dubai ",0.27898809523809526,2,0,0,,0.8214,0.8016,,0.4927,,0.872,0.5106
hyatt delhi  (india ),0.4669055284992785,10,0,0,0.659,0.512225,0.7237083333333333,0.32936,,0.7183,0.4019,0.4209833333333333
hyatt regency  (australia),0.26522883597883595,7,2,1,0.28595,0.5984,-0.5859,0.1808,,0.20413333333333336,0.13449999999999998,0.18174999999999997
"hyatt regency , amritsar(india)",0.2808257068452381,7,3,0,0.25993571428571427,0.41111285714285717,0.5707555555555556,0.5184833333333333,0.6364,0.4196,0.562735,0.2863777777777778
"hyatt regency, kerala (india)",0.5140991357929666,10,0,0,0.7937649999999999,0.6269966666666666,0.8481,0.7209666666666666,0.844,0.9632,0.8658750000000001,0.9916
hôtel de varenne(paris) ,0.4436502976190476,9,0,1,0.7184,0.5922071428571429,0.6662333333333333,0.6072416666666667,0.8271,,0.43635,
iq hotel roma(rome) (italy),0.3270949171984695,10,0,0,0.59675,0.63795625,0.76772,0.6982083333333332,0.7870999999999999,0.42110000000000003,0.418509375,-0.09298333333333332
itc gardenia (banglore) (india),0.4543501662028448,10,0,0,0.6800200000000001,0.6487357142857143,0.7915666666666666,0.5700999999999999,0.7714,0.6078388888888889,0.5857333333333333,
itc koneur(hyderabad) (india),0.5116986016628874,10,0,0,0.8714857142857142,0.7331194444444445,0.752525,0.42405,0.7702,0.7989999999999999,0.48214166666666664,0.7598
jumeirah (dubai),0.38669108946608943,9,1,0,0.6513,0.5676583333333334,0.6549666666666667,0.0025000000000000022,0.6678000000000001,,0.6649499999999999,0.6190625
jw cannes (france ),0.33867983328179757,7,2,1,0.7648,0.5282357142857144,0.7227,0.31770000000000004,0.8809999999999999,0.4383375,0.33707000000000004,-0.45285
jw marriot (mauritius),0.4443307529436167,10,0,0,0.7228928571428571,0.5390874999999999,0.7340875,0.671575,0.4019,0.6125333333333334,0.52453125,0.7096
jw marriott juhu  (india ),0.3834882870751216,9,1,0,0.44586,0.43843333333333334,0.6538555555555555,0.4740466666666666,0.2945,0.29817499999999997,0.47497500000000004,0.5343666666666667
jw marriott marquis  (uae ),0.3464672318422319,9,0,1,0.6784416666666666,0.22754416666666666,0.8501333333333333,0.6845399999999999,0.7716833333333334,0.7313666666666667,0.379,0.5610066666666667
jw marriott navi mumbai  (india ),0.43310332205272684,9,1,0,0.47845000000000004,0.35761916666666665,0.5407000000000001,0.40347500000000003,0.4767,0.7506,0.7045416666666666,0.54905
kempinski al othman (uae),0.29986904761904765,7,3,0,0.770275,0.5981,0.9570000000000001,0.9643,0.9497,0.7602,,0.8122
le suffren hotel & marina (port louis) (mauritius),0.37160343545343544,9,0,1,0.671457142857143,0.5692357142857143,0.5577166666666667,0.739261111111111,0.0,0.6322,0.7803333333333334,0.6358125
mandarin oriental (uae),0.36033282760073726,10,0,0,0.5883733333333334,0.6695216049382716,0.755,0.6181166666666666,0.851175,0.90325,0.5781562499999999,0.5284611111111112
marriott (new zealand ),0.260267037858315,8,2,0,0.22184250000000003,0.33155535714285717,0.76495,0.277175,0.4588,-0.014033333333333323,0.22406388888888887,0.35
movenpick (aus),0.31467781385281385,9,1,0,0.3846466666666667,0.44324646464646467,0.8323333333333333,0.5538240740740741,0.34,0.39675,0.5510333333333334,0.3961
munich marriott hotel(munich) (germany),0.38422522095959594,9,1,0,0.64802,0.6806944444444444,0.5903799999999999,0.668175,0.836,0.7027749999999999,0.6336233333333333,0.5609000000000001
"oberoi , shimla (india )",0.44243667810947224,10,0,0,0.54291,0.6070645833333334,0.77868,0.5805374999999999,0.6277999999999999,0.42162499999999997,0.56765,0.6936
oberoi delhi  ,0.34762964674214675,10,0,0,0.41174,0.6082020833333334,0.7607333333333334,0.7458,0.6334125,0.177325,0.6114083333333333,0.5680666666666666
one and only one za’abeel (new zealand),0.2180237124395213,7,1,2,0.02683333333333333,0.4038962962962963,0.4763,0.59485,0.82925,0.9152,0.2698583333333333,0.536575
one&only one za’abeel (uae),0.26024471983626396,9,0,1,0.9665,0.44475625,0.7001999999999999,0.77207,0.9109333333333334,0.05903333333333335,0.41346,0.32216666666666666
"palazzo versace,(dubai)",0.4188131791819291,9,1,0,0.6047399999999999,0.659218775510204,0.6351,0.68415,,0.5542,-0.22397500000000004,0.30571000000000004
park plaza westminster bridge( london) (u.k.),0.22320302960927965,8,1,1,0.37160000000000004,0.25225312499999997,0.6603,0.3569,0.5561499999999999,0.139,0.5939791666666667,
parmelia hilton (perth)  (australia),0.32411105114427485,8,1,1,0.30928,0.34925439393939395,0.72605,0.33876666666666666,0.7488,0.28595,0.47592083333333335,0.31845
pullman  (uae),0.366905815018315,8,1,1,0.1171888888888889,0.6874033333333334,0.926125,,0.9533,0.4209,0.9743,-0.20889999999999997
pullman paris tour eiffel(paris),0.18042611832611832,7,2,1,0.21196666666666666,0.059454761904761906,0.5855166666666666,0.35998,0.18813333333333335,0.019319047619047642,0.239740625,0.0
radisson blu hotel(edinburgh),0.1758957566738817,5,2,3,0.849575,-0.00856944444444444,0.7228,0.6039,-0.6907,,0.760425,0.5106
rochester champs elysees(paris) (france),0.2967171054412103,9,0,1,0.4193,0.5601166666666667,0.6886666666666666,0.683165,,0.5917,0.4337638888888889,0.69555
rose rayhaan by rotana(dubai) (u.a.e),0.3978915343915344,8,2,0,0.80375,0.658375,0.5439,0.9775,,0.4588,0.63,0.0
rosewood kauri cliffs(new zealand),0.27072247771909347,7,3,0,0.20229333333333335,0.1593322222222222,0.505375,0.23802500000000001,0.8807,0.2619666666666667,0.40819444444444447,0.6124
shangri la (dubai),0.46507842029002744,10,0,0,0.640652,0.7528214285714286,0.7626,0.7107833333333334,0.7697499999999999,0.31470000000000004,0.7298625,0.4435
sheraton essen hotel(essen ) (germany),0.1585632908757909,7,2,1,0.50965,0.19917499999999996,0.7970666666666667,0.5748,0.5287,0.5022500000000001,0.6937000000000001,-0.5423
so/ auckland (new zealand),0.490671626984127,10,0,0,0.760225,0.835392857142857,0.865075,0.8992,0.864625,,0.8846399999999999,0.46324000000000004
sofitel marseille vieux port (france ),0.3245614189051689,7,3,0,-0.882,0.6007399999999999,0.8884000000000001,0.8431,,0.412175,0.61935,0.45205
sofitel wellington (india),0.4011983074795575,9,1,0,0.5626785714285715,0.50250625,0.733,0.5321,0.6423,0.7940999999999999,0.7635375,0.476475
st regis mumbai (india),0.46000026236389874,9,1,0,0.613375,0.6309966666666667,0.8288500000000001,0.571225,0.765,0.9804,0.793,0.55574375
st. regis goa (india),0.28612247762302107,8,1,1,0.4836344444444444,0.36664444444444444,0.8768,0.467375,0.7250866666666668,0.7822333333333332,0.5976338095238095,0.5630533333333333
st.regis (dubai ),0.33010957015259673,8,2,0,0.43487,0.5668106481481482,0.693375,0.83981,0.6309625000000001,0.6227199999999999,0.4436866666666667,0.53748125
steigenberger frankfurter hof(frankfurter) (germany),0.2687458549620314,8,1,1,0.269,0.26102,0.6946,0.7116333333333333,0.44530000000000003,0.57625,0.6068875,0.4927
taj mumbai  (india ),0.3222204951443791,9,1,0,0.3917380952380953,0.5151883597883598,0.7268416666666666,0.6707761904761904,0.6126833333333334,0.6333785714285715,0.5000030303030303,0.5026416666666667
the bloomsbury hotel(london) ,0.38217232709750565,10,0,0,0.6749833333333334,0.43972625,0.7377111111111111,0.530965625,0.688075,0.724625,0.4071944444444444,0.8885
the grace sydney(aus),0.33837014080195893,10,0,0,,0.736,0.7244142857142857,0.4665,0.865,0.8258,0.44886458333333334,0.45901999999999993
the hyatt ( dubai ) ,0.3749822585978836,9,1,0,0.5014904761904762,0.628095238095238,0.7648416666666668,0.6639571428571429,,0.6124,0.7741214285714285,0.6960000000000001
the imperial (new delhi) (india),0.39883145095645095,9,1,0,0.5221733333333333,0.5212666666666667,0.9334,0.55805,0.5725,0.9349,0.68614,0.2942666666666667
the lalit (new delhi) ,0.34092306096681096,8,2,0,0.35148,0.45460537037037035,0.85276,0.33374,0.19179999999999997,-0.0772,0.49091250000000003,-0.2263
the leela palace (new delhi) (india),0.43957998737373744,10,0,0,0.69865,0.5162392857142858,,0.59265,,0.61455,0.6028333333333333,0.5859
"the negresco, nice  (france )",0.3401572339036624,9,1,0,0.4122666666666667,0.24427500000000002,0.7286833333333332,0.7553749999999999,0.6999,0.211,0.6327333333333334,0.417675
the oberoi (mauritius),0.46627926322043967,10,0,0,0.8345625,0.7718,0.9282199999999999,0.8041,0.8672,0.51005,0.9204,0.7451000000000001
the ritz  (pune ),0.37500878048188974,10,0,0,0.7398166666666667,0.5644703703703704,0.6882250000000001,0.19820000000000002,0.7926500000000001,,0.6662777777777777,0.326
the ritz carlton  (mauritius ),0.2704875108687609,8,2,0,0.262125,0.3203722222222222,0.6883166666666667,0.5796875,0.552611111111111,0.47647555555555554,0.4982095238095238,0.3163222222222222
the royal horseguards hotel(london) (u.k.),0.41192023809523814,10,0,0,0.6031,0.57082,0.752475,0.6571499999999999,0.743,0.8176,0.566125,
the rubens at the palace(london) (u.k.),0.32907756019074297,9,0,1,0.5178333333333334,0.2537466666666667,0.47507857142857146,0.6549,0.5777,0.8026,0.7752500000000001,
the taj ( dubai ) ,0.3253686263426515,8,2,0,0.677713888888889,0.7536866666666666,0.7666333333333334,0.89125,0.5577583333333334,0.4196,0.6780833333333333,0.6075466666666666
towers rotana(dubai) (u.a.e),0.35491952861952863,9,1,0,0.5927,0.44044285714285714,0.7549,0.57141,,0.7178,0.4610125,0.0
wharekauhau country estate (new zealand),0.312136413754465,9,1,0,0.22490714285714283,0.5653333333333334,0.38939999999999997,0.41960000000000003,0.37213333333333337,0.7595000000000001,0.55654,0.6839
